MS,MS Name,CCI,Title,Fund,Objective,Initially planned EU amount,De-commitments (n+2/n+3),De-commitments at closure,Net planned EU amount,Cumulative pre-financing,Cumulative recovery of pre-financing (at closure),Cumulative net pre-financing,Cumulative interim payments,Cumulative recovery of expenses (at closure),Cumulative net interim payments,Closure payments,Total closure recoveries,Total net payments,EU payment rate compared to initial planned EU amount
IT,Italia,2007IT162PO011,PO Regione Piemonte FESR - versione 6,ERDF,Regional Competitiveness and Employment,"422,868,998.00",0,0,"422,868,998.00","31,958,949.15",0,"31,958,949.15","369,766,598.95",0,"369,766,598.95","21,143,449.90",0,"422,868,998.00",100
LT,Lietuva,2007LT051PO002,Techninės paramos veiksmų programa,ESF,Convergence,"70,793,931.00",0,0,"70,793,931.00","12,127,533.34",0,"12,127,533.34","55,126,701.11",0,"55,126,701.11","2,846,873.05",0,"70,101,107.50",99.02
BG,Balgarija,2007BG161PO001,Operational Programme Regional Development,ERDF,Convergence,"1,361,083,545.00",0,"61,573,819.40","1,299,509,725.60","122,497,519.05",0,"122,497,519.05","1,170,531,848.70",0,"1,170,531,848.70","5,969,546.04",0,"1,298,998,913.79",95.44
IT,Italia,2007IT052PO010,Por P.A. Trento FSE,ESF,Regional Competitiveness and Employment,"60,833,846.00",0,0,"60,833,846.00","4,589,922.68",0,"4,589,922.68","53,202,231.02",0,"53,202,231.02","3,041,692.30",0,"60,833,846.00",100
GR,Ellada,2007GR16UPO002,Κρήτη & Νήσοι Αιγαίου,ERDF,Regional Competitiveness and Employment,"140,300,178.00",0,0,"140,300,178.00","10,522,513.35",0,"10,522,513.35","129,777,664.65",0,"129,777,664.65",0,0,"140,300,178.00",100
ES,Spain,2007ES06RPO014,PDR de Navarra,EAFRD,,"129,030,447.00",0,"1,552,671.45","127,477,775.55","8,949,920.35",0,"8,949,920.35","113,629,004.30",0,"113,629,004.30","4,898,850.90",0,"127,477,775.55",98.8
AT,Österreich,2007AT162PO004,OP Wien 2007-2013: Ziel Regionale Wettbewerbsfähigkeit & Beschäftigung / EFRE,ERDF,Regional Competitiveness and Employment,"25,151,861.00",0,0,"25,151,861.00","1,886,389.58",0,"1,886,389.58","22,007,878.37",0,"22,007,878.37","1,257,593.05",0,"25,151,861.00",100
PT,Portugal,2007PT16UPO002,PO Assistência Técnica FEDER,ERDF,Regional Competitiveness and Employment,"3,412,221.00",0,0,"3,412,221.00","309,219.37",0,"309,219.37","3,103,001.63",0,"3,103,001.63",0,0,"3,412,221.00",100
IT,Italia,2007IT162PO016,Por Sardegna ST FESR,ERDF,Regional Competitiveness and Employment,"680,671,765.00",0,0,"680,671,765.00","51,050,382.38",0,"51,050,382.38","595,587,794.37",0,"595,587,794.37","34,033,588.25",0,"680,671,765.00",100
CB,EU cross-border cooperation,2007CB163PO024,Interreg IV Alpenrhein-Bodensee-Hochrhein,ERDF,European Territorial Cooperation,"23,871,170.00",0,0,"23,871,170.00","1,790,337.75",0,"1,790,337.75","20,887,273.75",0,"20,887,273.75","1,193,558.50",0,"23,871,170.00",100
FR,France,2007FR162PO023,Programme opérationnel plurirégional FEDER ALPES,ERDF,Regional Competitiveness and Employment,"34,936,532.00",0,0,"34,936,532.00","2,620,239.90",0,"2,620,239.90","30,569,465.50",0,"30,569,465.50","1,746,826.60",0,"34,936,532.00",100
FR,France,2007FR162PO005,Programme opérationnel FEDER BASSE-NORMANDIE,ERDF,Regional Competitiveness and Employment,"181,354,410.00",0,0,"181,354,410.00","13,601,580.75",0,"13,601,580.75","158,685,108.75",0,"158,685,108.75","9,067,720.50",0,"181,354,410.00",100
ES,España,2007ES05UPO001,PO FSE ADAPTABILIDAD Y EMPLEO,ESF,Convergence,"2,848,070,449.00",0,0,"2,848,070,449.00","215,916,700.88",0,"215,916,700.88","2,415,773,683.37",0,"2,415,773,683.37","216,380,064.75",0,"2,848,070,449.00",100
ES,Spain,2007ES06RPO002,ARAGON RDP,EAFRD,,"465,768,730.00",0,"4,182,968.94","461,585,761.06","32,308,268.02",0,"32,308,268.02","410,172,025.47",0,"410,172,025.47","19,105,467.57",0,"461,585,761.06",99.1
IT,Italia,2007IT162PO006,POR FESR 2007-2013 Lombardia,ERDF,Regional Competitiveness and Employment,"210,742,552.00",0,0,"210,742,552.00","15,816,546.08",0,"15,816,546.08","184,388,878.32",0,"184,388,878.32","10,537,127.60",0,"210,742,552.00",100
CZ,Ceska Republika,2007CZ161PO007,OP Doprava,CF,Convergence,"4,603,637,553.00",0,0,"4,603,637,553.00","483,381,943.06",0,"483,381,943.06","3,890,073,732.29",0,"3,890,073,732.29","230,181,877.65",0,"4,603,637,553.00",100
IT,Italia,2007IT052PO005,PO Ob. CRO Fse Regione Liguria 2007-2013 - riprogramazione 2015,ESF,Regional Competitiveness and Employment,"146,341,533.00",0,0,"146,341,533.00","11,071,428.60",0,"11,071,428.60","127,953,027.75",0,"127,953,027.75","7,317,076.65",0,"146,341,533.00",100
PT,Portugal,2007PT161PO002,PO Regional do Norte 2007-2013,ERDF,Convergence,"2,661,645,133.00",0,0,"2,661,645,133.00","203,373,384.98",0,"203,373,384.98","2,325,189,491.37",0,"2,325,189,491.37","133,082,256.65",0,"2,661,645,133.00",100
CB,EU cross-border cooperation,2007CB163PO057,"INTERREG IV ""Fehmarnbeltregion"" (Sjælland-Ostholstein-Lübeck-Plön)",ERDF,European Territorial Cooperation,"22,900,000.00",0,0,"22,900,000.00","1,717,500.00",0,"1,717,500.00","20,037,500.00",0,"20,037,500.00","1,145,000.00",0,"22,900,000.00",100
RO,România,2007RO161PO005,Operational Programme Technical Assistance,ERDF,Convergence,"170,237,790.00",0,0,"170,237,790.00","15,321,401.10",0,"15,321,401.10","146,404,499.40",0,"146,404,499.40","8,511,889.50",0,"170,237,790.00",100
