MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of initial pre-financing,Cumulative annual pre-financing,Pre-financing covered by expenditure,Recovery of annual pre-financing,Net pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
IT,Italy,2014IT16RFOP017,Toscana - ERDF,ERDF,More developed,2023,389513945.00,11173608.57,0.00,0.00,72720941.21,26381261.74,34963288.36,22549999.68,340582683.58,0.00,366963945.32,389513945.00,100.00,100.00
EE,Estonia,2014EE06RDNP001,Estonia - National Rural Development,EAFRD,,2023,1081864629.00,24700246.74,0.00,0.00,0.00,0.00,0.00,24700246.74,903528358.06,0.00,903528358.06,928228604.80,85.80,85.80
TC,Interreg,2014TC16I5CB010,IPA CBC Greece - Albania,IPAE-contribution from ERDF,,2023,22982611.00,3716776.50,0.00,0.00,0.00,0.00,0.00,3716776.50,18046057.46,0.00,18046057.46,21762833.96,94.69,94.69
FR,France,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Less developed,2023,351959114.00,9925247.01,0.00,0.00,64954054.47,16898709.82,35527460.04,22453131.62,202046681.16,0.00,218945390.98,241398522.60,68.59,68.59
BE,Belgium,2014BE05FMOP001,FEAD - Belgium,FEAD,REACT-EU,2023,46087224.00,4763076.60,0.00,0.00,0.00,0.00,0.00,4763076.60,31062450.93,0.00,31062450.93,35825527.53,77.73,77.73
TC,Interreg,2014TC16I5CB010,IPA CBC Greece - Albania,IPAE,,2023,22982611.00,3716776.50,0.00,0.00,0.00,0.00,0.00,3716776.50,18046057.26,0.00,18046057.26,21762833.76,94.69,94.69
TC,Interreg,2014TC16RFCB009,Interreg V-A - Germany/Bayern-Czech Republic,ERDF,,2023,103375149.00,3101254.47,0.00,0.00,19899716.18,7201034.06,9056232.30,6743704.29,79980641.14,0.00,87181675.20,93925379.49,90.86,90.86
CY,Cyprus,2014CY16M1OP001,Competitiveness and sustainable development - CY - ERDF/CF,CF,,2023,258856192.00,10134768.00,0.00,0.00,51156203.27,19972936.28,21746800.61,19571234.38,219312021.34,0.00,239284957.62,258856192.00,100.00,100.00
ES,Spain,2014ES16RFOP005,Asturias  - ERDF,ERDF,More developed,2023,256779031.00,8341606.04,0.00,0.00,47815463.33,11534327.06,26301724.45,18321017.86,227111465.82,187779.74,238458013.14,256779031.00,100.00,100.00
FR,France,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,Transition,2023,145993387.00,4117013.49,0.00,0.00,26943079.46,8361907.59,13036593.92,9661591.44,128434297.77,464409.80,136331795.56,145993387.00,100.00,100.00
FR,France,2014FR05SFOP003,Guyane - ESF,ESF,REACT-EU,2023,31526760.00,3646134.75,0.00,0.00,1116686.50,0.00,486151.30,4276669.95,12552941.82,0.00,12552941.82,16829611.77,53.38,53.38
FR,France,2014FR05SFOP003,Guyane - ESF,ESF,Less developed,2023,78956069.00,2365980.00,0.00,0.00,14786279.95,4124683.94,7875866.13,5151709.88,46324681.22,0.00,50449365.16,55601075.04,70.42,70.42
FR,France,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,ESF,Transition,2023,79443748.00,2577096.66,0.00,0.00,15585925.76,5104637.27,7558984.63,5499400.52,69845055.79,0.00,74949693.06,80449093.58,101.27,101.27
